Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Place_Name,Is Found?,Trimble MAPS Street Address,Trimble MAPS City,Trimble MAPS State,Trimble MAPS Postal Code,Trimble MAPS Latitude,Trimble MAPS Longitude,Trimble MAPS Confidence Level,Trimble MAPS Geocoding Errors,Distance Between Original and Trimble MAPS,,Location_ID,Place_Name,Is_Found?,
AB981     ,PETRO CANADA                  ,99TH AVE                      ,PEACE RIVER    ,AB,T8S1M ,56.2346,-117.3434, NOT FOUND, False,,Peace River,AB,T8S 1M5,56.234368,-117.343449,3 - Uncertain,Input address does not contain a house or building number; Multiple best matches; Location along street is uncertain,0,,AB981     , NOT FOUND, False,
AB983     ,PETRO CANADA                  ,5503 KEPLER ST W              ,WHITECOURT     ,AB,T7X1N ,54.1456,-115.7129, NOT FOUND, False,,Whitecourt,AB,,54.145114,-115.713023,1 - Exact,,0,,AB983     , NOT FOUND, False,
AB984     ,PETRO CANADA                  ,HWY 28 AND RANGE 1            ,WASKATENAU     ,AB,T0A3  ,54.0954,-112.7827, NOT FOUND, False,,Waskatenau,AB,T0A 3P0,54.100464,-112.780365,2 - Good,Input address does not contain a house or building number; Multiple best matches; Location along street is uncertain,0.6,,AB984     , NOT FOUND, False,
AB986     ,PETRO CANADA                  ,4703 50 AVENUE                ,GRASSLAND      ,AB,T0A1  ,54.8191,-112.6963, NOT FOUND, False,,,,,0,0,4 - Failed,No matches found,-1,,AB986     , NOT FOUND, False,
AB994     ,PETROCANADA                   ,5105-47TH AVE                 ,VERMILION      ,AB,T9X1A ,53.35,-110.8561, @Petro-Canada, True,,Vermilion,AB,T9X 0B4,53.349777,-110.857995,1 - Exact,,0.1,,AB994     , NOT FOUND, False,
AB998     ,PETRO CANADA                  ,2900 BOX SPRINGS BLVD NW      ,MEDICINE HAT   ,AB,T1C0  ,50.0593,-110.7348, NOT FOUND, False,,Medicine Hat,AB,T1C 0C8,50.073934,-110.753362,1 - Exact,,1.9,,AB998     , NOT FOUND, False,
AL003     ,SHELL MERRY MART 322          ,6630 RANGELINE RD             ,THEODORE       ,AL,36582,30.5534,-88.1245, NOT FOUND, False,,Theodore,AL,36582,30.553421,-88.12403,1 - Exact,,0.1,,AL003     , NOT FOUND, False,
AL010     ,ROLLING T TRUCKSTOP LLC       ,2830 NAUVOO RD                ,CARBON HILL    ,AL,35549,33.9132,-87.5009, NOT FOUND, False,,Carbon Hill,AL,35549,33.912531,-87.501607,2 - Good,Multiple best matches; Location along street is approximate,0.1,,AL010     , NOT FOUND, False,
AL011     ,SAI SABURI LLC                ,430 S JACKSON ST              ,GROVEHILL      ,AL,36451,31.6874,-87.7801, @Dunn's Shell, True,,Grove Hill,AL,36451,31.687779,-87.779947,1 - Exact,,0.1,,AL011     , @Dunn's Shell, True,
AL013     ,JEMISON EXXON                 ,12820 C.R. 42                 ,JEMISON        ,AL,35085,32.9802,-86.6853, @Jemison Exxon, True,,Jemison,AL,35085,32.980732,-86.686616,1 - Exact,,0.1,,AL013     , NOT FOUND, False,
AL015     ,JET PEP 63                    ,608 FOB JAMES DRIVE           ,VALLEY         ,AL,36854,32.821,-85.2116, @Jet Pep, True,,Valley,AL,36854,32.82103,-85.211412,1 - Exact,,0,,AL015     , @Jet Pep, True,
AL022     ,MARKETPLACE ENERGY 103        ,13288 HWY 113                 ,BREWTON        ,AL,36426,31.2004,-87.3102, @Jet-Pep, True,,Brewton,AL,36426,31.200439,-87.309734,1 - Exact,,0.1,,AL022     , @Jet-Pep, True,
AL023     ,FACKLER TRUCK STOP            ,13750 COUNTY RD. 42           ,FACKLER        ,AL,35746,34.7756,-85.8938, @Texaco #302810, True,,Fackler,AL,35746,34.776304,-85.894133,1 - Exact,,0.3,,AL023     , NOT FOUND, False,
AL024     ,MR ROYS TRUCKSTOP             ,2217 CECIL JACKSON BYPASS     ,SELMA          ,AL,36701,32.3771,-87.0032, @Mr Roy's Truck Stop, True,,Selma,AL,36701,32.377074,-87.003183,1 - Exact,,0,,AL024     , @Mr Roy's Truck Stop, True,
AL028     ,PATRIOT FUELING CENTER        ,94201 HIGHWAY 9               ,LINEVILLE      ,AL,36266,33.373,-85.7042, NOT FOUND, False,,Lineville,AL,36266,33.375999,-85.702866,1 - Exact,Multiple best matches; Location along street is approximate,0.2,,AL028     , NOT FOUND, False,
AL030     ,ALLENS FOODMART 9             ,HWY 280 BYPASS                ,SYLACAUGA      ,AL,35150,33.1721,-86.2706, NOT FOUND, False,,Sylacauga,AL,35150,33.258634,-86.346812,3 - Uncertain,Input address does not contain a house or building number; Multiple best matches; Location along street is uncertain,7.9,,AL030     , NOT FOUND, False,
AL032     ,ALISHAH LLC                   ,3597 JAYBIRD RD               ,BRIGHTON       ,AL,35020,33.4281,-86.9518, NOT FOUND, False,,Brighton,AL,35020,33.428611,-86.952803,1 - Exact,,0.1,,AL032     , NOT FOUND, False,
AL033     ,FNA INVESTMENT                ,1286 HWY 52 EAST              ,PELHAM         ,AL,35124,33.2807,-86.802, NOT FOUND, False,,Pelham,AL,35124,33.276429,-86.787999,1 - Exact,,7.9,,AL033     , NOT FOUND, False,
AL034     ,CIRCLE K 6690                 ,1200 COLUMBUS PKWY            ,OPELIKA        ,AL,36801,32.644,-85.3493, @Circle K #6690, True,,Opelika,AL,36801,32.644045,-85.349267,1 - Exact,,0.2,,AL034     , @Circle K #6690, True,
AL036     ,HOBO PANTRY FUEL CENTER 6     ,735 ROSS CLARK CIRCLE N.E.    ,DOTHAN         ,AL,36301,31.2287,-85.3599, @Hobo Pantry #6, True,,Dothan,AL,36303,31.231826,-85.36118,2 - Good,Multiple best matches; Input does not include a street name prefix/suffix but match does,0.3,,AL036     , NOT FOUND, False,
AL049     ,PAYLESS 3                     ,202 NEW BRISTOL LN            ,MADISON        ,AL,35756,34.6742,-86.7867, NOT FOUND, False,,Madison,AL,35756,34.690049,-86.788063,1 - Exact,Multiple best matches; Location along street is approximate,1.2,,AL049     , NOT FOUND, False,
