Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Pricing Provider,Network ID,Trimble_POI_Name,Contains,Trimble_StreetAddress,Trimble_City,Trimble_MAPS_State,Trimble_Zipcode
CA264     ,PETRO_ONTARIO 026             ,4325 GUASTI ROAD              ,ONTARIO        ,CA,91761,34.0653,-117.5541,COMDATA   ,TA                                      , @Petro Fuel #26, True,4513 East Guasti Road,Ontario,CA,91761
CA293     ,FLYING J 613                  ,17047 ZACHARY AVE             ,BAKERSFIELD    ,CA,93308,35.5318,-119.1876,COMDATA   ,Pilot                                   , @Flying J #613, True,Zachary Avenue,Bakersfield,CA,93308
CA294     ,FLYING J 614                  ,2611 FISHER BLVD.             ,BARSTOW        ,CA,92311,34.8541,-117.0807,COMDATA   ,Pilot                                   , @Flying J #614, True,2570 High Point Parkway,Barstow,CA,92311
CA296     ,PILOT 343                     ,1497 PIPER RANCH ROAD         ,OTAY MESA      ,CA,92154,32.5692,-116.9526,COMDATA   ,Pilot                                   , @Pilot Travel Center #343, True,1497 Piper Ranch Road,San Diego,CA,92154
CA314     ,FLYING J 616                  ,42810 FRAZIER MOUNTAIN PARK RD,LEBEC          ,CA,93243,34.8168,-118.8873,COMDATA   ,Pilot                                   , @Flying J #616, True,42810 Frazier Mountain Park Road,Lebec,CA,93243
CA333     ,LOVES 223                     ,1553 COLONY ROAD              ,RIPON          ,CA,95366,37.7556,-121.1416,COMDATA   ,Loves                                   , @Love's #223, True,22204 North Jack Tone Road  (Route J5),Ripon,CA,95366
CA343     ,FLYING J 617                  ,15100 NORTH THORNTON RD       ,LODI           ,CA,95242,38.1179,-121.3942,COMDATA   ,Pilot                                   , @Flying J #617, True,15285 North Thornton Road  (Route J8),Lodi,CA,95242
CA349     ,FLYING J 618                  ,1501 NORTH JACK TONE ROAD     ,RIPON          ,CA,95366,37.7561,-121.1443,COMDATA   ,Pilot                                   , @Flying J #618, True,1534 West Santos Avenue,Ripon,CA,95366
CA352     ,PILOT 879                     ,2828 EL CENTRO RD             ,SACRAMENTO     ,CA,95833,38.617,-121.5384,COMDATA   ,Pilot                                   , @Pilot Dealer #879, True,3621 West El Camino Avenue,Sacramento,CA,95833
CA425     ,LOVES 410                     ,2120 SOUTH AVE                ,CORNING        ,CA,96021,39.9074,-122.1955,COMDATA   ,Loves                                   , @Love's #410, True,22560 South Avenue,Corning,CA,96021
CA428     ,LOVES 441                     ,29025 WEST PLAZA DRIVE        ,SANTA NELLA    ,CA,95322,37.0569,-120.9689,COMDATA   ,Loves                                   , NOT FOUND, False,"CA-33, CA-152",Los Banos,CA,93635
CA476     ,PILOT 282                     ,I-15 & LENWOOD ROAD           ,BARSTOW        ,CA,92311,34.8547,-117.0872,COMDATA   ,Pilot                                   , @Pilot Travel Center #282, True,2801 Lenwood Road,Barstow,CA,92311
CA483     ,LOVES 392                     ,ST HWY 581 E                  ,TEHACHAPI      ,CA,93561,35.1256,-118.4082,COMDATA   ,Loves                                   , @Love's #392, True,Monolith Street,Tehachapi,CA,93561
CA502     ,TA_COACHELLA 041              ,46155 DILLON ROAD             ,COACHELLA      ,CA,92236,33.7133,-116.1759,COMDATA   ,TA                                      , @TA-Coachella #41, True,46155 Dillon Road,Coachella,CA,92236
CA519     ,PETRO_CORNING 309             ,I-5 @ SOUTH AVENUE            ,CORNING        ,CA,96021,39.9058,-122.1947,COMDATA   ,TA                                      , @Petro Fuel #309, True,2041 South Avenue,Corning,CA,96021
CA554     ,LOVES 230                     ,21948 HIGHWAY 46              ,LOST HILLS     ,CA,93249,35.6173,-119.6587,COMDATA   ,Loves                                   , @Love's #230, True,14641 Warren Street,Lost Hills,CA,93249
CA690     ,PILOT 1019                    ,4444 COMMERCE LANE            ,ORLAND         ,CA,95963,39.7501,-122.2079,COMDATA   ,Pilot                                   , @Pilot Travel Center #1019, True,6442 Route 13,Orland,CA,95963
CA709     ,PILOT 307                     ,19997 INDIAN AVE              ,NORTH PALM SPRI,CA,92258,33.903,-116.5465,COMDATA   ,Pilot                                   , @Pilot Travel Center #307, True,6545 Garnet Avenue,Palm Springs,CA,92262
CA721     ,PILOT 372                     ,31642 CASTAIC RD              ,CASTAIC        ,CA,91384,34.4945,-118.6193,COMDATA   ,Pilot                                   , @Pilot Travel Center #372, True,27666 Fantastic Lane,Castaic,CA,91384
CA746     ,PILOT 365                     ,"I-99, 22717 AVE 18 1/2        ",MADERA         ,CA,93637,37.0195,-120.1332,COMDATA   ,Pilot                                   , @Pilot Travel Center #365, True,18528 Pistachio Drive,Madera,CA,93637
CA806     ,PETRO_SANTA NELLA 346         ,28991 W. GONZAGA RD           ,SANTA NELLA    ,CA,95322,37.0578,-121.0522,COMDATA   ,TA                                      , NOT FOUND, False,Gonzaga Road,Gustine,CA,95322
CA815     ,LOVES 382                     ,ST RT 99 EXIT 85              ,TULARE         ,CA,93274,36.182,-119.3311,COMDATA   ,Loves                                   , NOT FOUND, False,3018 South Blackstone Street,Tulare,CA,93274
CA828     ,LOVES 374                     ,I-15 / LENWOOD RD EXIT 178    ,BARSTOW        ,CA,92311,34.8571,-117.0925,COMDATA   ,Loves                                   , @Love's #374, True,High Desert Road,Barstow,CA,92311
CA829     ,TA_WHEELER RIDGE 239          ,5552 WHEELER RIDGE ROAD       ,ARVIN          ,CA,93203,34.9941,-118.9408,COMDATA   ,TA                                      , @TA-Wheeler Ridge #239, True,Santa Elena Drive,Arvin,CA,93203
CA867     ,PILOT 137                     ,395 E VISTA DR                ,WEED           ,CA,96094,41.3992,-122.3761,COMDATA   ,Pilot                                   , @Pilot Travel Center #137, True,395 Vista Drive,Weed,CA,96094
CA930     ,PETRO_WHEELER RIDGE 327       ,5821 DENNIS MCCARTHY          ,WHEELER RIDGE  ,CA,93243,34.9853,-118.9472,COMDATA   ,TA                                      , NOT FOUND, False,5742 Dennis Mccarthy Drive,Lebec,CA,93243
CA940     ,PILOT 168                     ,"I-5 & ROAD 8, EXIT 554        ",DUNNIGAN       ,CA,95937,38.862,-121.9503,COMDATA   ,Pilot                                   , @Pilot Travel Center #168, True,4900 Road 99 West,Dunnigan,CA,95937
CA944     ,PILOT 381                     ,8701 HWY 395                  ,HESPERIA       ,CA,92345,34.4091,-117.3986,COMDATA   ,Pilot                                   , @Pilot Travel Center #381, True,8701 US-395,Hesperia,CA,92344
CA979     ,PILOT 237                     ,US 101 AND SANBORN            ,SALINAS        ,CA,93901,36.6656,-121.6299,COMDATA   ,Pilot                                   , @Pilot Travel Center #237, True,Truck Terminal Access Road,Salinas,CA,93901
CL012     ,FLYING J 1080                 ,2275 SPERRY AVENUE            ,PATTERSON      ,CA,95363,37.4661,-121.1645,COMDATA   ,Pilot                                   , @Flying J #1080, True,Park Center Drive,Patterson,CA,95363
CL026     ,FLYING J 1017                 ,345 ROTH ROAD                 ,LATHROP        ,CA,95330,37.8556,-121.2743,COMDATA   ,Pilot                                   , NOT FOUND, False,400 East Roth Road,French Camp,CA,95231
CL041     ,FLYING J 1094                 ,1668 E. TEHACHAPI BLVD        ,TEHACHAPI      ,CA,93561,35.1273,-118.4154,COMDATA   ,Pilot                                   , @Flying J #1094, True,1192 East Tehachapi Boulevard,Tehachapi,CA,93561
CL075     ,PILOT 1132                    ,1850 MAIN STREET              ,BRAWLEY        ,CA,92227,32.9782,-115.5021,COMDATA   ,Pilot                                   , NOT FOUND, False,369 Main Street,Brawley,CA,92227
CL083     ,LOVES 652                     ,100 MARGURITE ST              ,WILLIAMS       ,CA,95987,39.1681,-122.1444,COMDATA   ,Loves                                   , NOT FOUND, False,Margurite Street,Williams,CA,95987
CL084     ,FLYING J 1071                 ,979 EAST PAIGE AVE            ,TULARE         ,CA,93274,36.1797,-119.334,COMDATA   ,Pilot                                   , NOT FOUND, False,3021 South Blackstone Street,Tulare,CA,93274
CL087     ,LOVES 749                     ,HWY 86 & MARTIN RD            ,WESMORLAND     ,CA,92281,33.1265,-115.524,COMDATA   ,Loves                                   , NOT FOUND, False,440 West Main Street  (Route S30),Calipatria,CA,92233
